HD 206672,B3V,,HD147547
HD 207330*,B2.5III,,HD147550
HD 208501*,B8Ib,,HD147888
HD 209339,O9.7IV,,HD147933
HD 209481,O9IV(n)var+B1:V:,,HD148112
HD 209409,B8III,,HD148184
HD 209975*,O9.5Ib,,HD148184
HD 209819,B8IV,,HD148184
HD 210129,B7Ve,,HD148184
HD 210419*,A0IV,,HD148184
HD 210839*,O6I(n)fp,,HD148184
HD 210809*,O9Iab,,HD148594
HD 212044,B1Ve,,HD148605
HD 212120,B5V,,HD148605
HD 212097,B9IIIp,,HD148632
HD 212076,B1.5Ve,,HD149121
HD 212593,A0.5I,,HD149212
HD 212666,B2Vnne,,HD149438
HD 212571,B1Ve,,HD149438
HD 213420,B2.5III,,HD149630
HD 213998,B8IV,,HD149630
HD 214432*,B2.5V,,HD149630
HD 214680*,O9V,,HD149757
HD 214748,B8III,,HD149757
HD 214923,B8IV,,HD149881
HD 214993*,B1.5III,,HD150100
HD 215182,,,HD150100
HD 216735*,A1IV,,HD150117J
HD 216956*,A3V/A3Va,,HD151133
HD 217675,B5III,,HD151749
HD 217891,B5Ve,,HD151884
HD 218376*,B0.5III,,HD152614
HD 218700,B8Vp,,HD152614
HD 219523,B3V,,HD152655
HD 219688*,B5V,,HD152909
HD 221188,B8III,,HD154204
HD 221253,B3V,,HD154445
HD 222173,B7III (H?),,HD154445
HD 222439,B9V,,HD154445
HD 222847,B8V,,HD154660
HD 224572,B0.5V,,HD154660
HD 120315,B3V,,HD155095
HD 121847,B8V,,HD155125
3CenA,B3V,,HD155328
3CenB,B9V,,HD155401
HD 124683,A0V,,HD155711
HD 129443,B9V,,HD155763
HD 130274,B9V,,HD155806
HD 134759,B8IV,,HD156377
HD 135230,B9II,,HD156633
HD 135742,B8III,,HD157056
HD 136849,B9V,,HD157151
HD 137389,A0III,,HD157174
HD 138527,B8.5IV,,HD157741
HD 138749,B7Ve,,HD157841
HD 139006,A0V,,HD157955
HD 138485,B2.5V,,HD158148
HD 138764,B7V,,HD158261
HD 139909,B9V,,HD158704
HD 140873,B7V,,HD159032
HD 142926,B8V,,HD159032
HD 144206,B8IVp,,HD159082
HD 148112,B9V,,HD159358
HD 149212,B9IV,,HD159561
HD 151749,B9V,,HD159561
HD 156633,B3V,,HD159845
HD 158261,A0V,,HD159975
HD 159561,A3IV,,HD160762
HD 159975,B9II,,HD161004
HD 161569,B9V,,HD161056
HD 162732,B5IV?,,HD161464
HD 164212,A0IV,,HD161569
HD 164447,B9II,,HD161573
HD 173219,B1V,,HD161677
HD 177003,B2.5,,HD161695
HD 178475,B3V He weak?,,HD161701
HD 182255,B7V,,HD162094
HD 182568,B3IV,,HD162345
HD 184171,B3 IV or V,,HD162570
HD 184930,B7V,,HD162570
HD 186882,B9IV,,HD162732
HD 187811,B3V,,HD162732
HD 189090,B9V,,HD163472
HD 191610,B1.5Vne,,HD163641
HD 194335,B1.5/2Vne,,HD163966
HD 200120,?,,HD164212
HD 200310,?,,HD164284_2
HD 214168,B1.5Vne,,HD164284_2
HD 97603,A3 V,,HD164284
HD 112185,B9 V + A3 V,,HD164284
HD 116656J,A2 V,,HD164284
HD 116657,A3 V,,HD164353
HD 120315,B3 V,,HD164402
HD 129988,K,,HD164429
HD 142250,B7 V,,HD164432
HD 142983,?,,HD164447
HD 145502,B2 V,,HD164852
HD 145483,B9 V,,HD164900
HD 147888,B3 V He weak,,HD165046
HD 165402,B7 V,,HD165052
HD 166563,dumb,,HD165174
HD 168431,B3 IV,,HD165174
HD 168812,B7 V He weak,,HD165174
HD 168795,B8 V,,HD165174
HD 170000,B9 IV,,HD165174
HD 168957,B3 V,,HD165174
HD 168797,B2.5 V,,HD165365
HD 169031,B8 V,,HD165402
HD 170650,?,,HD165517
HD 171948,LAMBDA BOO A3 V,,HD165854
HD 173921,B5 III,,HD166182
HD 173219,?,,HD166563
HD 175744,B8 III p ?,,HD166917
HD 184606,B8 III,,HD167771
HD 187640,B5 III,,HD167965
HD 190603,e p,,HD168021
HD 120315,B3 V,,HD168131
HD 126769,B8 V,,HD168135
HD 131162,,,HD168199
HD 134946,B8 V,,HD168271
HD 139094,B7 V Si,,HD168431
HD 143187,B9 V,,HD168795
HD 144217,Gibberish,,HD168797
HD 139006,A1 IV,,HD168812
HD 142096,B3 V,,HD168856
HD 144217,B1 V,,HD168957
HD 144218,B2.5 V,,HD169031
HD 145389,A0 III,,HD169033
HD 145482,B2.5 V,,HD169247
HD 148632,A1 IV,,HD169454
HD 149121,A0 III,,HD169578
HD 149630,B9 V e,,HD169798
HD 150100,B9.5 V,,HD169820
HD 150117,B9 IV,,HD169990
HD 149881,B0.5 III,,HD170000
HD 149757,B0.2 V nn ?,,HD170028
HD 151133,B9 IV,,HD170051
HD 155125,A3 Va,,HD170111
HD 108757,A0 V-IV,,HD170200
HD 109387,B5 III e,,HD170235
HD 131919,B9 V,,HD170314
HD 139365,B3 V,,HD170562
HD 141637,B2.5 V,,HD170580
HD 142378,B5 V,,HD170650
HD 142883,B5 V He B2,,HD170740
HD 151884,B3 V,,HD170795
HD 155328,A0 IV,,HD170973
HD 155711,A0 IV OR B9 V,,HD171012
HD 156377,B9 IV n,,HD171247
HD 157151,B9.5 V,,HD171301
HD 157841,B9 V,,HD171406
HD 159082,B9 V,,HD171461
HD 159358,B9 IV n,,HD171780
HD 161464,B7 III e BINARY,,HD171948
HD 161695,A0 II,,HD172044
HD 161573,B3 V,,HD172046
HD 161677,B3 V He weak,,HD172167
HD 161701,B8 V,,HD172167
HD 162094,B3 V,,HD172167
HD 162570,A9 V,,HD172167
HD 163472,B2 IV,,HD172167
HD 163966,A0 IV ,,HD172167
HD 163641,B8 IV,,HD172167
HD 164429,B9 V BINARY?,,HD172167
HD 164432,B2 IV,,HD172167
HD 164852,B3 V,,HD172167
HD 164900,B2.5 V He B5,,HD172167
HD 166182,B2.5 III,,HD172167
HD 166917,B7 III,,HD172650
HD 167965,B8 V He B8 Mg II ,,HD172883
HD 168131,B1.7 V e He,,HD173075
HD 168199,B3 V He B5,,HD173087
HD 168271,B9 IV,,HD173219
HD 139160,B8 V,,HD173219
HD 142114,B2.5 V,,HD173370
HD 142301,B3 V He weak? Bi?,,HD173921
HD 144844,B8.5 V,,HD173936
HD 146416,B9 V e?,,HD174105
HD 148594,B8 V e,,HD174179
HD 152655,B7 IV,,HD174237
HD 154204,B7 V e,,HD174261
HD 142165,B7 V,,HD174298
HD 142184,B2.5 V,,HD174391
HD 142990,B3 V,,HD174567
HD 143018,B1.5 nn,,HD174585
HD 147165,B0.5 V,,HD174853
HD 147933,B 1.5 n,,HD174959
HD 152909,B7 V,,HD175132
HD 155095,B7 V,,HD175156
HD 155401,B8 V n,,HD175191
HD 157056,B1.5 V,,HD175511
HD 157955,A0 III,,HD175744
HD 158704,B8 IV p,,HD175754
HD 169033,B8 V e,,HD175869
HD 169247,B8 V-IV,,HD176254
HD 169578,B8 V-IV,,HD176301
HD 169820,B9 V,,HD176304
HD 170111,B3 V,,HD176437
HD 170200,B8 V He B7,,HD176871
HD 170740,B2 IV,,HD177003
HD 172167,A0 V,,HD177347
HD 168021,?,,HD177724
HD 168856,B7 V + OTHER,,HD177756
HD 169798,"B3 IV He, Si strong",,HD177756
HD 169990,B8 V-IV,,HD177817
HD 170028,B3 V He weak,,HD178065
HD 170051,B3 V,,HD178125
