HD 22928*,8.858797669,,,HD022203
HD 22951,3.030966381,,,HD022928
HD 23194*,7.41813732,,,HD022951
HD 23180,4.074719444,,,HD023180
HD 23363,4.839428466,,,HD023194
HD 23288*,7.523388376,,,HD023288
HD 23302,8.704054073,,,HD023302
HD 23324*,7.340473905,,,HD023302
HD 23338*,8.96905582,,,HD023324
HD 23408,9.47796016,,,HD023338
HD 23432,7.565820863,,,HD023363
HD 23441,7.34534678,,,HD023408
HD 23480,9.478144378,,,HD023432
HD 23568,7.05978635,,,HD023441
HD 23478,3.471280843,,,HD023478
HD 23629,7.444952561,,,HD023480
HD 23643*,7.604931016,,,HD023568
HD 23630,7.968840142,,,HD023629
HD 23793,7.742614789,,,HD023630
HD 23753,2.650694197,,,HD023630
HD 23850*,8.429236085,,,HD023643
HD 23862,7.722945189,,,HD023753
HD 23873,1.46576557,,,HD023793
HD 23923,7.496204998,,,HD023800
HD 23950,6.922387325,,,HD023850
HD 23985,17.71,,,HD023862
HD 23800,1.705484946,,,HD023862
HD 24388,5.396567475,,,HD023873
HD 24368,5.603736434,,,HD023923
HD 24398*,3.39562301,,,HD023950
HD 24431,1.215685954,,,HD023985
HD 24504,4.597063036,,,HD024368
HD 24560,1.065901922,,,HD024388
HD 24640,2.317922225,,,HD024398
HD 24769,4.417742458,,,HD024431
HD 24479,8.406858408,,,HD024479
HD 24760*,12.16110249,,,HD024504
HD 24912*,1.378824955,,,HD024560
HD 25204,2.827278539,,,HD024640
HD 25348,0.805229592,,,HD024760
HD 25940,5.93441388,,,HD024769
HD 26793,7.999677384,,,HD024912
HD 26912,6.665133545,,,HD025204
HD 26670,6.661443584,,,HD025348
HD 27396,6.851691297,,,HD025940
HD 28319*,20.83539377,,,HD026670
HD 28503A,3.022463536,,,HD026793
HD 28503B,3.289570116,,,HD026912
HD 28446A,1.296671876,,,HD027396
HD 28446B,1.172377886,,,HD028319
HD 28543,2.899224222,,,HD028446A
HD 280006,0.538632532,,,HD028446B
HD 29096,1.833797241,,,HD028503A
HD 29035,1.415663583,,,HD028503B
HD 29332,1.170849557,,,HD028543
HD 30211,4.508728587,,,HD029035
HD 30004,1.014321087,,,HD029096
HD 30836*,4.030864819,,,HD029332
HD 30614*,1.36859034,,,HD030004
HD 32249,3.927419547,,,HD030211
HD 32630*,15.8367051,,,HD030614
HD 32811,2.899254026,,,HD030836
HD 33111*,2.890229376,,,HD032249
HD 32961,0.773219668,,,HD032630
BD+47 1108,1.159216682,,,HD032811
HD 34085*,3.083315664,,,HD032961
