name	classification
HD222173	B8III-IV
HD222439	B9V
HD222847	B8.5IV
HD224572	B1V
HD169033	B8V
HD169247	B9IV
HD169578	B8V
HD169820	B9V
HD170111	B4V
HD170200	B7IV-V
HD170740	B2IV
HD168021	B0Ib
HD168856	B9II
HD169798	B3IV
HD169990	B8V
HD170028	B3V
HD170051	B3V
HD170235	B1.5V
HD170314	B8V
HD170562	B7V
HD170795	B5IV
HD170973	B9III
HD171012	B0.5Ia
HD171247	B9II-III
HD171301	B8IV
HD171406	B5V
HD171461	B9IV
HD171780	B5V
HD172044	B7III
HD172046	B5IV
HD172650	A0V
HD174298	B1.5IV
HD174853	B8V
HD176301	B5III
HD177347	B3IV
HD178540	B5IV
HD181751	B8V
HD184961	B9IV
HD187961	B5III
HD190066	B1:Iab:
HD193220	B1.5IV
HD195340	B3IV
HD195341	B5IV
HD195358	B8III
HD195775	B7IV
HD142315	B9V
HD142669	B2IV-V
HD144334	B8IV
HD172883	B9V
HD173370	B8IV
HD174105	B7III
HD174179	B3IV
HD174237	B3IV:
HD174261	B3V
HD174391	B2.5IV
HD174567	A0III
HD174585	B3IV
HD174959	B5IV
HD175132	B9III
HD175191	B2.5V
HD175511	B9III-IV
HD175869	B7III-IV
HD176254	B2.5IV
HD176304	B2.5III
HD176871	B5III-IV
HD173087	B5V
HD177756	B9IV
HD178568	B9IV
HD179583	A1V
HD179588	B9IV
HD173371	B7IV
HD173761	B9V
HD175081	B8V
HD174933	B9III-IV
HD175426	B3IV
HD175863	B4IV
HD175334	B9IV
HD175428	B9V
HD176502	B3IV
HD177410	B8:IV:
HD176582	B4IV
HD176162	B5IV
HD176818	B2IV
HD176914	B2V
HD176819	B2IV-V
HD177109	B3V
HD176873	B7III-IV
HD176853	B3IV
HD177593	B5IV
HD177829	B9V
HD177931	A0V
HD189864	B7V
HD197511	B2.5IV:
HD200575	B5V
HD201836	B5III
HD201819	B0.5IV
HD146001	B7IV
HD176318	B7IV
HD177648	B2V
HD177624	B3IV
HD177880	B5IV
HD178591	B9III-IV
HD178512	B6V
HD178849	B3V
HD178947	B7III-IV
HD178840	B9IV
HD180553	B5IV
HD181440	B9IV
HD184502	B3IV
HD186660	B2.5IV
HD189921	B4IV
HD192685	B3IV
HD193668	B7IV
HD195134	B9IV
HD197196	B6IV
HD199728	B8IV
HD202149	B9IV
HD204220	B8V
HD207071	B8.5V
HD208189	A0IV-V
HD209905	B9IV-V
HD211838	B7IV
HD213027	B9III-IV
HD142884	B5IV
HD145102	B9IV
HD147196	B9IV
HD178744	B5IV
HD179124	B7III
HD179309	B8III-IV
HD179406	B4III
HD179761	B7III
HD180163	B3III-IV
HD180316	B5IV
HD180613	B3IV
HD180554	B3IV
HD180844	B5IV
HD180968	B1IV
HD181799	B9IV
HD181409	B1.5V
HD181492	B3V
HD183133	B3IV
HD185487	B7V
HD187567	B2IV
HD191746	B2IV
HD192666	B9IV
HD197392	B5III
HD199216	B0.5III
HD200340	B5III
